"Date","Open","High","Low","Close","Volume","Volatility","LogReturn"
2025-09-03,4324.696399006,4489.1985052792,4286.2060968628,4450.3889587396,35260873496.79,4.69379557980199,0.0346685600697754
2025-09-02,4314.3910880816,4414.9342503781,4260.4592762204,4325.3658398186,39884692333.99,3.58045830811289,-0.0284947747689248
2025-09-01,4389.6260794621,4490.3466308368,4221.2474557725,4314.4704289978,37530746508.04,6.13034391068851,-0.00252213497048537
2025-08-31,4374.8934336974,4497.1769815853,4373.5968927219,4390.0191302417,26683044983.7,2.82475655090318,0.0173589956862674
2025-08-30,4360.0889015889,4413.2749022347,4264.1954316483,4374.153377662,25883112278.16,3.41918419443403,-0.00362059735748765
2025-08-29,4507.6315433608,4513.8594977412,4272.4593945001,4360.1530059699,46899991962.03,5.35536458379465,-0.00320583754857751
2025-08-28,4503.6311645677,4629.0312807639,4435.1093005494,4507.1776761205,36045274077.94,4.30590279550822,0.0331640153327388
2025-08-27,4600.5102393215,4659.9875280606,4489.2977102011,4503.3928436231,43509902322.18,3.71023666898031,-0.000840087253454413
2025-08-26,4372.8802749653,4632.0732218517,4316.3005934442,4600.4267415471,53829747706.29,7.221158791273,0.0213179911568915
2025-08-25,4779.7694672139,4796.3501262192,4343.9472434266,4372.9877668349,63936163544.92,9.4649519374478,-0.0507025940977091
2025-08-24,4776.7047831539,4953.7329137686,4714.4728584323,4779.6473316152,52405003873.18,5.00889349871701,0.0889202887886444
2025-08-23,4831.0882030899,4831.610686537,4669.7249290239,4776.0903527934,36503623277.66,3.35091703375568,-0.00074446978424092
2025-08-22,4223.7308939878,4884.2280175715,4209.4722061336,4831.3487230165,75965521535.02,15.9753504277076,0.0115033734039525
2025-08-21,4334.5675592962,4338.8263941248,4205.7766224422,4223.2098532759,33618359941.64,3.06950508585919,-0.134530199749527
2025-08-20,4073.1682593067,4376.789495849,4064.9650478482,4334.5003930871,49577862965.42,7.65557492716679,0.0260108863596944
2025-08-19,4312.5303734145,4355.0752354721,4070.5354377299,4073.4642014243,50440367101.82,6.59797782518368,-0.0621125614460603
2025-08-18,4473.3304672639,4484.0095312098,4229.3796988368,4312.5050093174,53518423360.04,5.69217575666265,0.0570251513691638
2025-08-17,4426.2599161927,4575.876352397,4400.7135185798,4473.2715559761,31348101437.86,3.9573553549442,0.0366010887029447
2025-08-16,4439.9981821384,4493.149351283,4379.1643938576,4426.1803113344,26816931513.69,2.56722982193886,-0.0105830527239732
2025-08-15,4549.0754978462,4667.7302183239,4375.5453190434,4439.9886331233,55445715823.99,6.42295120005894,0.00311483641687005
